 id  bayes.sfh.sfr  bayes.sfh.sfr_err  bayes.stellar.m_star  bayes.stellar.m_star_err    bayes.LSST-g  bayes.LSST-g_err    bayes.LSST-i  bayes.LSST-i_err    bayes.LSST-r  bayes.LSST-r_err    bayes.LSST-u  bayes.LSST-u_err   bayes.LSST-y  bayes.LSST-y_err    bayes.LSST-z  bayes.LSST-z_err  bayes.WFIRST_106  bayes.WFIRST_106_err  bayes.WFIRST_129  bayes.WFIRST_129_err  bayes.WFIRST_158  bayes.WFIRST_158_err  bayes.WFIRST_184  bayes.WFIRST_184_err    best.chi_square  best.reduced_chi_square  best.agn.beta  best.agn.fracAGN  best.agn.gamma  best.agn.opening_angle  best.agn.psy  best.agn.r_ratio  best.agn.tau  best.attenuation.B_B90  best.attenuation.E_BVs.nebular.continuum_old  best.attenuation.E_BVs.nebular.continuum_young  best.attenuation.E_BVs.nebular.lines_old  best.attenuation.E_BVs.nebular.lines_young  best.attenuation.E_BVs.stellar.old  best.attenuation.E_BVs.stellar.young  best.attenuation.FUV  best.attenuation.V_B90  best.attenuation.ebvs_old_factor  best.attenuation.powerlaw_slope  best.attenuation.uv_bump_amplitude  best.attenuation.uv_bump_wavelength  best.attenuation.uv_bump_width  best.dust.alpha  best.dust.gamma  best.dust.qpah  best.dust.umin  best.nebular.f_dust  best.nebular.f_esc  best.nebular.lines_width  best.nebular.logU  best.sfh.age  best.sfh.age_burst  best.sfh.age_main  best.sfh.f_burst  best.sfh.tau_burst  best.sfh.tau_main  best.stellar.age_m_star  best.stellar.imf  best.stellar.metallicity  best.stellar.old_young_separation_age  best.universe.age  best.universe.luminosity_distance  best.universe.redshift  best.agn.agn_luminosity  best.agn.luminosity  best.agn.scatt_luminosity  best.agn.therm_luminosity  best.attenuation.nebular.continuum_old  best.attenuation.nebular.continuum_young  best.attenuation.nebular.lines_old  best.attenuation.nebular.lines_young  best.attenuation.stellar.old  best.attenuation.stellar.young  best.dust.luminosity     best.dust.mass  best.sfh.integrated     best.sfh.sfr  best.sfh.sfr100Myrs  best.sfh.sfr10Myrs   best.stellar.lum  best.stellar.lum_ly  best.stellar.lum_ly_old  best.stellar.lum_ly_young  best.stellar.lum_old  best.stellar.lum_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young  best.stellar.n_ly  best.stellar.n_ly_old  best.stellar.n_ly_young     best.LSST-u     best.LSST-g     best.LSST-r     best.LSST-i     best.LSST-z     best.LSST-y  best.WFIRST_106  best.WFIRST_129  best.WFIRST_158  best.WFIRST_184 
 24  117.517259353      156.934946913        381734734974.0            157290872260.0   1.88884896459    0.119624419977   6.63803420911    0.304935773895   4.16752999149    0.259734707801  0.442397326932   0.0568589577246  11.3521054903    0.367517782011   9.01304870421    0.349510795634     13.5058267801        0.404744815882     17.7047417089        0.729325419996      22.168746791         1.40555472923     26.7590804358         2.22343984251  1.52821319226e-21        1.69801465806e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.66252335059                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3          3.0761954693           1.36727770549                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        5000.0                20.0             5000.0               0.0                50.0             1000.0            3127.00394795               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                        3.8190937263e+34                         1.37196299792e+36                     8.087378703e+34                     2.90529249238e+36             1.83718351293e+38               6.14563115705e+37     2.57994216545e+38  1.34359246332e+35       959555387558.0    33.7166968926        35.0855755912        33.838359626  4.37314565045e+38     1.6846466932e+37        6.02980330546e+35          1.62434866015e+37     3.53618477359e+38       8.36960876858e+37      424205975847.0          424185880525.0             20095322.7015       535349411610.0           535031123438.0              318288172.247   5.0568435032e+54      1.36953553907e+53        4.91988994929e+54   0.46779272686   1.80641844007   4.08777502619   6.54181577399   9.04134596007   11.4712919682    13.6934997688    17.9307094479    22.4658835478    27.3091478631 
 25  15.9271810724       6.7797495511          1500943483.8             1084094100.04    0.1754415898   0.0108702718055  0.269936676129   0.0124746905605  0.209768819342   0.0121662681322  0.103189286325   0.0131336573231  0.33141129851   0.0122079879416  0.284545827193    0.012410441416     0.37532868613       0.0115759103628    0.435879826942       0.0192669827066    0.498453807812       0.0306437947423     0.56243572506       0.0433936916626  3.66930686985e-22        4.07700763317e-23           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.68637578443                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3          3.0775507231           1.38718651849                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0         100.0                20.0              100.0               0.0                50.0             2000.0             32.166296693               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       3.06501557704e+33                         9.43929971647e+35                   6.49052981639e+33                      1.9988823781e+36             1.68259905584e+37               4.14263718702e+37     6.68020617971e+37  3.47894413939e+34        1197211899.53    23.5547026639        11.9721189953       22.5337199753  7.72363422923e+37    1.11946629466e+37        2.63359614946e+34          1.11683269851e+37     2.06372238574e+37       5.65991184348e+37        217019739.38           203950412.488              13069326.892        980192092.412            767924287.285              212267805.126  3.39594517252e+54      1.09912143073e+52        3.38495395821e+54   0.11065459052  0.174153656425  0.201686385417  0.275051479954  0.277568156604  0.331712465939   0.376625345379   0.429514991831   0.502140803324   0.584532800303 
 26  117.818822437      82.2026783343         66061076184.9             33778054185.8   2.45855333105     0.15782305953   4.48451567941    0.176370183951   3.47351582059    0.178956798995   1.06661346746    0.135392152433  5.94061361652    0.207826017676   5.13237801782    0.201189891332     6.68604291014        0.209306253248     7.83306264779         0.32266719429     8.98527720641        0.531928897574     10.1868237827        0.766121431105   8.3032140309e-22        9.22579336767e-23           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.68344564848                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07659745503           1.37952198026                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        1000.0                20.0             1000.0               0.0                50.0             2000.0             345.15128118               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       2.62315986539e+34                         6.15528725247e+36                   5.55484854532e+34                     1.30345423821e+37             2.41728476287e+38               2.75033289505e+38     5.72598549682e+38  2.98200132609e+35        90128179583.4    151.556791718        147.607461291       151.213481118   7.0069021007e+38    7.31303483436e+37        2.60212081954e+35          7.28701362616e+37     3.25982023232e+38       3.74708186838e+38       28841737691.2           28752189337.1             89548354.0975        61286441439.2            59863855435.1              1422586004.14  2.21670646461e+55      9.40670985782e+52        2.20729975475e+55   1.11161296119   2.41111614423   3.33385729551   4.43071740521   5.05048036505   5.95351322223    6.72541224951    7.89000027976    9.25368496272    10.7262409605 
 27  271.616246696      242.784334972        136459379688.0             80017212774.0   3.67081264006    0.244465398539   7.73472276214     0.35388977216   5.67121694093    0.376917441597   1.42467678752    0.176558337222  10.8869369136    0.353294992412   9.18983896577    0.385101691296     12.4186435465        0.367288037796     14.9235049071        0.666502478354     17.4674463222         1.14501105615     20.0483660868           1.671453053  1.73971000905e-21        1.93301112116e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.67990699727                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07644297165           1.37677918211                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        2000.0                20.0             2000.0               0.0                50.0             2000.0            748.378556242               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       3.99976107718e+34                         7.47594154313e+36                   8.46996299933e+34                     1.58311826716e+37             3.54975562226e+38               3.34365950383e+38     7.57255399731e+38  3.94366455772e+35       264149126964.0    183.939697586        183.859941233       183.938833054  9.66366424329e+38    8.89641313331e+37        4.56468833521e+35          8.85076624996e+37     5.10891306375e+38       4.55475117954e+38       95570595061.1           95461548597.2             109046463.875       168578531352.0           166848190036.0              1730341315.79  2.69523256522e+55      1.43432325456e+53        2.68088933267e+55   1.49744932275   3.66300950454   5.58789429844    7.6682648933   9.13699647272   10.8720604618    12.3509124733     14.810824513    17.6644042094    20.7028226205 
 20  61.1840761357      26.0326715984         5788979054.69             4182468789.17  0.672836089777    0.041591597227   1.03648160222   0.0477440474794  0.805238789664   0.0465500991494  0.395270922128   0.0504356565297  1.27369567347   0.0470562892301   1.09338547276   0.0478226303065     1.44268354115       0.0444954593148     1.67610684762       0.0739918295276     1.91717876115        0.117496904747     2.16357763125        0.166320919402  1.34838272571e-21        1.49820302857e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.68639355564                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07754406182           1.38710510132                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0         100.0                20.0              100.0               0.0                50.0             1000.0            32.4409976907               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       1.17476763379e+34                          3.5959529605e+36                   2.48770819031e+34                     7.61485197116e+36             6.48928790691e+37               1.57964364566e+38     2.55428980497e+38  1.33023312578e+35        4633582819.02    89.6685280944        46.3358281902       85.9715694877  2.95395674435e+38     4.2648614343e+37        1.00935486619e+35          4.25476788564e+37     7.96077259249e+37        2.1578794851e+38       843304485.142           793387075.377             49917409.7648        3790278075.49            2980480048.76              809798026.724   1.2937295051e+55      4.21274296973e+52        1.28951676213e+55  0.423802757771  0.667790293958  0.774266917261   1.05539623915   1.06697565276   1.27509101005    1.44763449496    1.65179586185    1.93162352242    2.24863346239 
 21  312.048964421      243.903877334        188858569911.0             96883669042.5   6.39693068921    0.437112886925   12.0008922059    0.478910167992   9.21450159059    0.491808894174   2.69684875529    0.335091347717  16.0184849791    0.559109964494    13.805833116    0.527148728767     18.0428642839        0.592788155269     21.1645108854        0.910076711199     24.3112702856         1.48235963554     27.5950257587         2.12776578311  6.09686917358e-22        6.77429908175e-23           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.68288317021                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07650038009           1.37894721985                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        1000.0                20.0             1000.0               0.0                50.0             1000.0            375.474484515               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       6.60026187735e+34                         1.49518365157e+37                   1.39768283176e+35                     3.16622667244e+37             6.25631002851e+38               6.68725489686e+38     1.43001885512e+39  7.44730863299e+35       264057094603.0    367.879257109        367.224844025       367.872322281  1.76474546908e+39    1.77684976877e+38        6.70228318059e+35          1.77014748558e+38     8.53803075486e+38       9.10942393592e+38       86028905517.9           85810817698.1             218087819.725       178028187984.0           174567553682.0              3460634301.36  5.38543065152e+55      2.36686864895e+53        5.36176196503e+55   2.80906181866   6.31009138015   8.88440904487   11.8267551023   13.5954143691   16.0259235506    18.1044798516    21.2917146201    25.0037989951    29.0072828138 
 22   466.25734182      385.922020831        287348206369.0            157170234902.0   6.37819041232    0.408803475149   14.2371133926    0.656868219995   10.2982332348    0.649167618508    2.3029423221      0.2884045902  20.6479920997    0.682006277212   17.3141832173    0.712216107255     23.6659294943        0.691142807912     28.7930934778         1.24087600812     33.9846974133         2.15020183553     39.2245069848         3.14732761115   1.0478469924e-21          1.164274436e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.67784154589                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07631202955           1.37534123211                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        2000.0                20.0             2000.0               0.0                50.0             1000.0            876.765526577               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       6.95688643878e+34                         1.10145083094e+37                   1.47320226358e+35                     2.33245126487e+37             6.01838597299e+38               4.93103523385e+38     1.19512826174e+39  6.22403613027e+35       593858720396.0    270.805901734        277.499008805       271.414903679  1.57186160162e+39    1.31260462022e+38        8.55609463832e+35          1.30404852558e+38     9.00253652711e+38       6.71607948906e+38      221573291895.0          221412213039.0             161078855.461       372285427688.0           369732358320.0              2553069368.63  3.97477482754e+55      2.49475501309e+53        3.94982727741e+55   2.39488890304   6.32662173286   10.1869846713   14.2121767629   17.2995838466    20.680178805    23.5630607036    28.5458584204    34.2968575218    40.3845588227 
 23  382.481879143      304.021958233        328495806751.0            159954626735.0   4.58003854165    0.278635365346   11.7338269578    0.540009786181   8.09858558436    0.498744213993    1.4573344361    0.177040324618  18.1351714617    0.577900062558   14.8833518561    0.606465252625     21.1128256347        0.563372568744     26.5604969549         1.10740106108     32.1945347065         2.02147431478     37.8667918145         3.01586619539  8.67256040204e-22        9.63617822449e-23           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.67312020096                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07624756213           1.37244605915                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        3000.0                20.0             3000.0               0.0                50.0             1000.0            1512.04997537               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       5.92835296546e+34                         6.08051129354e+36                   1.25539824243e+35                     1.28761955225e+37             4.24321934351e+38               2.72303143691e+38     7.52175881552e+38  3.91721124247e+35       800776954295.0    149.460804134        154.473882292       149.909821251  1.06184987587e+39    7.28185466809e+37        8.28359244056e+35          7.19901874368e+37     6.90991008863e+38        3.7085886701e+38      323885539515.0          323796539293.0             89000221.8104       476891414331.0           475481316789.0              1410097541.86  2.20174413501e+55      2.12592061264e+53        2.18048492889e+55   1.49621489422   4.45975733692   8.05980066552   11.7971478296   15.0565011643   18.3448776143    21.1955336795    26.4232348303    32.3114556738    38.4890249189 
 28  319.989898413      248.489841106        183327898576.0            104482551938.0   3.88975404358    0.251988056687   8.87055385254    0.411089133587   6.34560991728    0.398824761056   1.39235116878    0.175078251273  13.0610969449    0.443065477467   10.8791395737     0.44811449205     15.0492801005        0.452127754692      18.501732177        0.806685710206     22.0112715133         1.39632442103     25.5313016844         2.05038742961  1.00149343872e-21        1.11277048747e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.67718697252                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3          3.0763911732           1.37488804267                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        3000.0                20.0             3000.0               0.0                50.0             2000.0            1215.77482327               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       4.55769031769e+34                         6.80437187757e+36                   9.65144357583e+34                     1.44090551722e+37             3.68356809488e+38               3.04427308096e+38     7.34704667635e+38  3.82622396509e+35       442090902661.0    167.375504405        168.731632529       167.500752587   9.7235991462e+38    8.11300633261e+37         5.7226648102e+35           8.0557796845e+37     5.57688105446e+38       4.14671809174e+38      171875969655.0          171776632606.0             99337048.8831       270214932505.0           268639262530.0              1575669975.37  2.45640693011e+55      1.63439792618e+53        2.44006295085e+55     1.454367568   3.82503540595   6.26689746585   8.85762008182   10.8995082111   13.1195864896    15.0285495337    18.3718833093    22.1891743053    26.2200972188 
 29  291.226533455      213.923881078        237528656384.0            115015005856.0   3.04132775284    0.175047952171   7.97247990004     0.35828534984   5.43415512773    0.312020557436  0.959568252874    0.120427436857  12.5648671434    0.412717269586   10.2255631356    0.418020738455     14.7358541287        0.392055568215     18.8292173441        0.765466174223     23.1127909158         1.40078056507     27.4245090567         2.11860336265  1.12895223636e-21        1.25439137373e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.67235282233                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07634982021           1.37188438608                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        5000.0                20.0             5000.0               0.0                50.0             2000.0            2358.01936286               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       4.33913936334e+34                         4.17334950397e+36                   9.18863630782e+34                     8.83755684397e+36             2.85271957984e+38               1.86763387825e+38     5.10191558484e+38  2.65699573427e+35       712651178294.0    102.637032719        104.169299784       102.775647218  7.26349723703e+38    5.00200571413e+37        6.10843101072e+35          4.94092140403e+37     4.71962495443e+38       2.54387228261e+38      301773661128.0          301712692064.0             60969064.1963       410877516858.0           409910729758.0              966787100.224  1.51213270273e+55      1.55602506588e+53        1.49657245207e+55  0.989196297159   2.91542151182   5.37739872043   8.00139299788   10.3662702215   12.7806385893    14.9225632684    18.8590148353    23.2010291685    27.8082256619 
