 id   bayes.sfh.sfr  bayes.sfh.sfr_err  bayes.stellar.m_star  bayes.stellar.m_star_err    bayes.LSST-g  bayes.LSST-g_err    bayes.LSST-i  bayes.LSST-i_err    bayes.LSST-r  bayes.LSST-r_err    bayes.LSST-u  bayes.LSST-u_err    bayes.LSST-y  bayes.LSST-y_err    bayes.LSST-z  bayes.LSST-z_err        bayes.PSW    bayes.PSW_err  bayes.WFIRST_106  bayes.WFIRST_106_err  bayes.WFIRST_129  bayes.WFIRST_129_err  bayes.WFIRST_158  bayes.WFIRST_158_err  bayes.WFIRST_184  bayes.WFIRST_184_err    best.chi_square  best.reduced_chi_square  best.agn.beta  best.agn.fracAGN  best.agn.gamma  best.agn.opening_angle  best.agn.psy  best.agn.r_ratio  best.agn.tau  best.attenuation.B_B90  best.attenuation.E_BVs.nebular.continuum_old  best.attenuation.E_BVs.nebular.continuum_young  best.attenuation.E_BVs.nebular.lines_old  best.attenuation.E_BVs.nebular.lines_young  best.attenuation.E_BVs.stellar.old  best.attenuation.E_BVs.stellar.young  best.attenuation.FUV  best.attenuation.V_B90  best.attenuation.ebvs_old_factor  best.attenuation.powerlaw_slope  best.attenuation.uv_bump_amplitude  best.attenuation.uv_bump_wavelength  best.attenuation.uv_bump_width  best.dust.alpha  best.dust.gamma  best.dust.qpah  best.dust.umin  best.nebular.f_dust  best.nebular.f_esc  best.nebular.lines_width  best.nebular.logU  best.sfh.age  best.sfh.age_burst  best.sfh.age_main  best.sfh.f_burst  best.sfh.tau_burst  best.sfh.tau_main  best.stellar.age_m_star  best.stellar.imf  best.stellar.metallicity  best.stellar.old_young_separation_age  best.universe.age  best.universe.luminosity_distance  best.universe.redshift  best.agn.agn_luminosity  best.agn.luminosity  best.agn.scatt_luminosity  best.agn.therm_luminosity  best.attenuation.nebular.continuum_old  best.attenuation.nebular.continuum_young  best.attenuation.nebular.lines_old  best.attenuation.nebular.lines_young  best.attenuation.stellar.old  best.attenuation.stellar.young  best.dust.luminosity     best.dust.mass  best.sfh.integrated     best.sfh.sfr  best.sfh.sfr100Myrs  best.sfh.sfr10Myrs   best.stellar.lum  best.stellar.lum_ly  best.stellar.lum_ly_old  best.stellar.lum_ly_young  best.stellar.lum_old  best.stellar.lum_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young  best.stellar.n_ly  best.stellar.n_ly_old  best.stellar.n_ly_young     best.LSST-u     best.LSST-g     best.LSST-r     best.LSST-i     best.LSST-z     best.LSST-y  best.WFIRST_106  best.WFIRST_129  best.WFIRST_158  best.WFIRST_184        best.PSW 
 24   28.9483655927      21.8976790296        470313971916.0            118108253255.0   1.86050526802    0.111804318044   6.74426678305    0.313612038768   4.28840601117    0.251872633153  0.423701987401   0.0547949849394   11.4718309017    0.387481874059   9.18521319124    0.349617394651   0.347495839734  0.0609804452825     13.5849052542         0.44669604207     17.5817850134        0.752920409458     21.7213534304         1.48443325324     26.1318692516         2.42179716098  1.65166180599e-21        1.65166180599e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.66252335059                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3          3.0761954693           1.36727770549                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        5000.0                20.0             5000.0               0.0                50.0             1000.0            3127.00394795               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                        3.8190937263e+34                         1.37196299792e+36                     8.087378703e+34                     2.90529249238e+36             1.83718351293e+38               6.14563115705e+37     2.57994216545e+38  1.34359246332e+35       959555387558.0    33.7166968926        35.0855755912        33.838359626  4.37314565045e+38     1.6846466932e+37        6.02980330547e+35          1.62434866015e+37     3.53618477359e+38       8.36960876858e+37      424205975847.0          424185880525.0             20095322.7015       535349411610.0           535031123438.0              318288172.247   5.0568435032e+54      1.36953553907e+53        4.91988994929e+54   0.46779272686   1.80641844007   4.08777502619   6.54181577399   9.04134596007   11.4712919682    13.6934997688    17.9307094479    22.4658835478    27.3091478631  0.353232648852 
 25   17.0223930978        8.081585137         1423071494.17              891990599.84  0.176872640989   0.0119695601707  0.269980576262   0.0134802755632  0.210311268955   0.0142566877335  0.105283732849   0.0125977237938  0.332585667378   0.0127930518337  0.285226607876   0.0121569119486   0.119990760624   0.017164488729    0.374921009036       0.0136543339654    0.432540495229       0.0196487208206    0.500449360289       0.0325947437568    0.575940969222       0.0484297448036  5.54553408642e-22        5.54553408642e-23           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.68637578443                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3          3.0775507231           1.38718651849                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0         100.0                20.0              100.0               0.0                50.0             2000.0             32.166296693               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       3.06501557704e+33                         9.43929971646e+35                   6.49052981639e+33                      1.9988823781e+36             1.68259905584e+37               4.14263718702e+37     6.68020617971e+37  3.47894413939e+34        1197211899.53    23.5547026639        11.9721189953       22.5337199753  7.72363422923e+37    1.11946629466e+37        2.63359614945e+34          1.11683269851e+37     2.06372238574e+37       5.65991184348e+37        217019739.38           203950412.488              13069326.892        980192092.411            767924287.285              212267805.126  3.39594517252e+54      1.09912143073e+52        3.38495395821e+54   0.11065459052  0.174153656425  0.201686385417  0.275051479954  0.277568156604  0.331712465939   0.376625345379   0.429514991831   0.502140803324   0.584532800303  0.130200441708 
 26   122.835698076        54.41156867         60508153244.5             33044869885.8    2.5023468003    0.138516846707   4.41066527498    0.169221064638   3.44736832767    0.163073555199   1.13129151427    0.133666666825   5.81148672798     0.25178444651   5.02532230832    0.240798895954   0.916105670539   0.127805460797      6.5876952263        0.211483992245     7.87422421544        0.334499466527     9.16835944094        0.558214213633     10.5487484419         0.78840013306  9.11101455594e-22        9.11101455594e-23           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.68344564848                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07659745503           1.37952198026                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        1000.0                20.0             1000.0               0.0                50.0             2000.0             345.15128118               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       2.62315986539e+34                         6.15528725247e+36                   5.55484854531e+34                     1.30345423821e+37             2.41728476287e+38               2.75033289505e+38     5.72598549682e+38  2.98200132609e+35        90128179583.3    151.556791718        147.607461291       151.213481118   7.0069021007e+38    7.31303483436e+37        2.60212081954e+35          7.28701362616e+37     3.25982023232e+38       3.74708186838e+38       28841737691.2           28752189337.1             89548354.0975        61286441439.2            59863855435.0              1422586004.14  2.21670646461e+55      9.40670985782e+52        2.20729975475e+55   1.11161296119   2.41111614423   3.33385729551   4.43071740521   5.05048036505   5.95351322223    6.72541224951    7.89000027976    9.25368496272    10.7262409605  0.986857112582 
 27   154.785124568      68.1215172239        142989701120.0             72900722902.0    3.7703234025    0.248844032935   7.69923411924     0.32880046683   5.78101301546    0.283966360874   1.45866602631    0.207324292287   10.7239478721    0.449111372918   9.15736651125    0.396725633126    1.20876914278   0.181555514056      12.215305427        0.435152187252     14.7914775486        0.651598973103     17.3733813402         1.05975471003     20.0647260479         1.49940850485   2.3402048174e-21         2.3402048174e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.67990699727                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07644297165           1.37677918211                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        2000.0                20.0             2000.0               0.0                50.0             2000.0            748.378556242               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       3.99976107718e+34                         7.47594154313e+36                   8.46996299932e+34                     1.58311826715e+37             3.54975562226e+38               3.34365950383e+38      7.5725539973e+38  3.94366455772e+35       264149126963.0    183.939697586        183.859941233       183.938833054  9.66366424329e+38    8.89641313331e+37        4.56468833521e+35          8.85076624996e+37     5.10891306375e+38       4.55475117954e+38       95570595061.1           95461548597.2             109046463.875       168578531352.0           166848190036.0              1730341315.79  2.69523256522e+55      1.43432325456e+53        2.68088933267e+55   1.49744932275   3.66300950453   5.58789429844    7.6682648933   9.13699647272   10.8720604618    12.3509124733     14.810824513    17.6644042094    20.7028226205    1.2611871355 
 20   65.7476761551      30.7115322133         5434791507.52             3442254632.48  0.677902400601   0.0456862703028   1.03721996181   0.0512565955351  0.806669893595   0.0542713874097  0.403501207419   0.0481397287521   1.27827443336   0.0493731451028   1.09558931938   0.0468549884314   0.458074563299  0.0650684171204     1.44153081179       0.0522698483566     1.66374954735        0.075746675071     1.92554480777        0.125241018042     2.21636164615        0.185351772154   1.3484538663e-21         1.3484538663e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.68639355564                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07754406182           1.38710510132                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0         100.0                20.0              100.0               0.0                50.0             1000.0            32.4409976907               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       1.17476763379e+34                          3.5959529605e+36                   2.48770819031e+34                     7.61485197116e+36             6.48928790691e+37               1.57964364566e+38     2.55428980497e+38  1.33023312578e+35        4633582819.02    89.6685280944        46.3358281902       85.9715694877  2.95395674435e+38     4.2648614343e+37        1.00935486619e+35          4.25476788564e+37     7.96077259249e+37        2.1578794851e+38       843304485.142           793387075.377             49917409.7648        3790278075.49            2980480048.76              809798026.724   1.2937295051e+55      4.21274296973e+52        1.28951676213e+55  0.423802757771  0.667790293958  0.774266917261   1.05539623915   1.06697565276   1.27509101005    1.44763449496    1.65179586185    1.93162352242    2.24863346239  0.496955990651 
 21   299.515244686      134.207540988        176020484511.0             91684707178.1   6.52943781181    0.384123491135   11.7876014829    0.461884067424   9.16938944533     0.42999236276   2.86172126182    0.349625988588   15.6610754785    0.699508298842   13.5291200561     0.64863839181    2.26998861266   0.318155851257     17.7522386844        0.609805023063     21.2374707179        0.888580551895      24.743760329         1.46365024425     28.4804924557         2.06472511385  6.61703336104e-22        6.61703336104e-23           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.68288317021                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07650038009           1.37894721985                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        1000.0                20.0             1000.0               0.0                50.0             1000.0            375.474484515               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       6.60026187735e+34                         1.49518365157e+37                   1.39768283176e+35                     3.16622667244e+37             6.25631002851e+38               6.68725489685e+38     1.43001885512e+39  7.44730863299e+35       264057094603.0    367.879257109        367.224844025       367.872322281  1.76474546908e+39    1.77684976877e+38        6.70228318059e+35          1.77014748558e+38     8.53803075486e+38       9.10942393592e+38       86028905517.9           85810817698.1             218087819.725       178028187984.0           174567553682.0              3460634301.36  5.38543065152e+55      2.36686864895e+53        5.36176196503e+55   2.80906181866   6.31009138015   8.88440904487   11.8267551023   13.5954143691   16.0259235506    18.1044798516    21.2917146201    25.0037989951    29.0072828138   2.43658035563 
 22   250.791693705      91.1415326299        305052809154.0            137916544206.0   6.52861736118     0.40596280397   14.3467987548    0.552819888221    10.523946266    0.478419818778   2.34239123615    0.311845155094   20.4216156181     0.75830572766   17.3249043637    0.668810138465    1.85999529516   0.272768466635     23.3433338455         0.76056269317       28.48088331         1.18351554063     33.6331889096         1.97650948564     38.9737083522         2.92370950873  1.06697075655e-21        1.06697075655e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.67784154589                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07631202955           1.37534123211                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        2000.0                20.0             2000.0               0.0                50.0             1000.0            876.765526577               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       6.95688643878e+34                         1.10145083094e+37                   1.47320226358e+35                     2.33245126487e+37             6.01838597299e+38               4.93103523385e+38     1.19512826174e+39  6.22403613027e+35       593858720396.0    270.805901734        277.499008805       271.414903679  1.57186160162e+39    1.31260462022e+38        8.55609463832e+35          1.30404852558e+38      9.0025365271e+38       6.71607948906e+38      221573291895.0          221412213039.0             161078855.461       372285427688.0           369732358320.0              2553069368.63  3.97477482754e+55      2.49475501309e+53        3.94982727741e+55   2.39488890304   6.32662173286   10.1869846713   14.2121767629   17.2995838466    20.680178805    23.5630607036    28.5458584204    34.2968575218    40.3845588227   1.93861719624 
 23   137.779746147      59.6807851096        430636231465.0            123935484187.0   4.60913452251    0.325950965019   11.9813090863    0.482270970588    8.3800601748    0.419807291792   1.40465845461     0.20268122208   18.2117484498    0.671728922699   15.1481934391     0.57552206614    1.12140380156   0.179572899431     21.0457762182        0.733067093313     26.2453808884         1.11768014984     31.6366646556         1.88216002923     37.3023727933         2.81887372134   1.0132800873e-21         1.0132800873e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.67312020096                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07624756213           1.37244605915                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        3000.0                20.0             3000.0               0.0                50.0             1000.0            1512.04997537               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       5.92835296546e+34                         6.08051129354e+36                   1.25539824243e+35                     1.28761955225e+37             4.24321934351e+38               2.72303143691e+38     7.52175881552e+38  3.91721124247e+35       800776954295.0    149.460804134        154.473882292       149.909821251  1.06184987587e+39    7.28185466809e+37        8.28359244056e+35          7.19901874368e+37     6.90991008863e+38        3.7085886701e+38      323885539515.0          323796539293.0             89000221.8103       476891414331.0           475481316789.0              1410097541.86  2.20174413501e+55      2.12592061264e+53        2.18048492889e+55   1.49621489422   4.45975733692   8.05980066552   11.7971478296   15.0565011643   18.3448776143    21.1955336795    26.4232348303    32.3114556738    38.4890249189   1.16448971542 
 28   155.904039408      56.0816653284        204047427006.0             96046013506.5    3.9876797568    0.251807415297   8.98304008786    0.333048377551   6.52611264126     0.28027225316   1.40880540798    0.193495875453   12.9271170812     0.47443035576   10.9207548685     0.40773459831    1.14832250109   0.171707692502     14.8306583235        0.484213476744      18.233975579        0.758388845512      21.651357983         1.27033183921     25.1838981491         1.89655107162  1.28880727798e-21        1.28880727798e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.67718697252                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3          3.0763911732           1.37488804267                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        3000.0                20.0             3000.0               0.0                50.0             2000.0            1215.77482327               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                        4.5576903177e+34                         6.80437187757e+36                   9.65144357583e+34                     1.44090551722e+37             3.68356809488e+38               3.04427308096e+38     7.34704667636e+38  3.82622396509e+35       442090902661.0    167.375504405        168.731632529       167.500752587   9.7235991462e+38    8.11300633261e+37         5.7226648102e+35          8.05577968451e+37     5.57688105446e+38       4.14671809175e+38      171875969655.0          171776632606.0             99337048.8831       270214932505.0           268639262530.0              1575669975.37  2.45640693011e+55      1.63439792618e+53        2.44006295085e+55     1.454367568   3.82503540595   6.26689746585   8.85762008182   10.8995082111   13.1195864896    15.0285495337    18.3718833093    22.1891743053    26.2200972188   1.19420275204 
 29   100.791210305       37.249119315        312643985465.0             85048302562.9   3.04484345713    0.201500977408    8.1887424186    0.314898995228   5.63840194582    0.258347884828  0.915757794425     0.13563897926   12.6670017458    0.442214694682   10.4592678752    0.368170049167   0.769740751149   0.125978085764     14.7229092063        0.492025910171     18.5755716199        0.776003673468     22.5844106585         1.29925919469     26.7725077919         1.94805283488  1.13402315828e-21        1.13402315828e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.67235282233                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07634982021           1.37188438608                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0        5000.0                20.0             5000.0               0.0                50.0             2000.0            2358.01936286               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       4.33913936334e+34                         4.17334950397e+36                   9.18863630782e+34                     8.83755684397e+36             2.85271957984e+38               1.86763387825e+38     5.10191558484e+38  2.65699573427e+35       712651178294.0    102.637032719        104.169299784       102.775647218  7.26349723703e+38    5.00200571413e+37        6.10843101072e+35          4.94092140403e+37     4.71962495443e+38       2.54387228261e+38      301773661128.0          301712692064.0             60969064.1963       410877516858.0           409910729758.0              966787100.224  1.51213270273e+55      1.55602506588e+53        1.49657245207e+55  0.989196297159   2.91542151182   5.37739872043   8.00139299788   10.3662702215   12.7806385893    14.9225632684    18.8590148353    23.2010291685    27.8082256619  0.793396478871 
