 id      bayes.sfh.sfr  bayes.sfh.sfr_err  bayes.stellar.m_star  bayes.stellar.m_star_err    bayes.IRAS3  bayes.IRAS3_err    bayes.LSST-g  bayes.LSST-g_err    bayes.LSST-i  bayes.LSST-i_err    bayes.LSST-r  bayes.LSST-r_err     bayes.LSST-u  bayes.LSST-u_err    bayes.LSST-y  bayes.LSST-y_err    bayes.LSST-z  bayes.LSST-z_err        bayes.PSW     bayes.PSW_err    bayes.SCUBA850  bayes.SCUBA850_err  bayes.WFIRST_106  bayes.WFIRST_106_err  bayes.WFIRST_129  bayes.WFIRST_129_err  bayes.WFIRST_158  bayes.WFIRST_158_err  bayes.WFIRST_184  bayes.WFIRST_184_err    best.chi_square  best.reduced_chi_square  best.agn.beta  best.agn.fracAGN  best.agn.gamma  best.agn.opening_angle  best.agn.psy  best.agn.r_ratio  best.agn.tau  best.attenuation.B_B90  best.attenuation.E_BVs.nebular.continuum_old  best.attenuation.E_BVs.nebular.continuum_young  best.attenuation.E_BVs.nebular.lines_old  best.attenuation.E_BVs.nebular.lines_young  best.attenuation.E_BVs.stellar.old  best.attenuation.E_BVs.stellar.young  best.attenuation.FUV  best.attenuation.V_B90  best.attenuation.ebvs_old_factor  best.attenuation.powerlaw_slope  best.attenuation.uv_bump_amplitude  best.attenuation.uv_bump_wavelength  best.attenuation.uv_bump_width  best.dust.alpha  best.dust.gamma  best.dust.qpah  best.dust.umin  best.nebular.f_dust  best.nebular.f_esc  best.nebular.lines_width  best.nebular.logU  best.sfh.age  best.sfh.age_burst  best.sfh.age_main  best.sfh.f_burst  best.sfh.tau_burst  best.sfh.tau_main  best.stellar.age_m_star  best.stellar.imf  best.stellar.metallicity  best.stellar.old_young_separation_age  best.universe.age  best.universe.luminosity_distance  best.universe.redshift  best.agn.agn_luminosity  best.agn.luminosity  best.agn.scatt_luminosity  best.agn.therm_luminosity  best.attenuation.nebular.continuum_old  best.attenuation.nebular.continuum_young  best.attenuation.nebular.lines_old  best.attenuation.nebular.lines_young  best.attenuation.stellar.old  best.attenuation.stellar.young  best.dust.luminosity     best.dust.mass  best.sfh.integrated       best.sfh.sfr  best.sfh.sfr100Myrs  best.sfh.sfr10Myrs   best.stellar.lum  best.stellar.lum_ly  best.stellar.lum_ly_old  best.stellar.lum_ly_young  best.stellar.lum_old  best.stellar.lum_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young  best.stellar.n_ly  best.stellar.n_ly_old  best.stellar.n_ly_young     best.LSST-u     best.LSST-g     best.LSST-r     best.LSST-i     best.LSST-z     best.LSST-y  best.WFIRST_106  best.WFIRST_129  best.WFIRST_158  best.WFIRST_184     best.IRAS3         best.PSW     best.SCUBA850 
 24    0.0381514651358     0.301068367923        421597293431.0            129951347412.0  56.8888086543    6.09677839069   2.09143770178    0.174023294576   6.63563066361    0.180164439577   4.41960443933    0.182944268692   0.397278738381    0.066339130688   10.9064856268    0.366437913018   8.85495689113    0.243222617815   0.270499168695   0.0420130417619  0.00396170951587    0.00109928250907     12.8164202213        0.530747194368     16.9018598656        0.833450365541     21.7535974456         1.24431283242     26.9807868468          1.8940370495      62.5575098778            5.21312582315           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           2.09692619726                                          0.22                                             0.5                                      0.22                                         0.5                                0.22                                   0.5         2.50401263342           1.88482637157                              0.44                              0.5                                 0.0                                217.5                            35.0              1.0              0.3            4.58            50.0                  0.5                 0.0                     400.0               -2.0        1000.0                20.0             1000.0               0.0                50.0               20.0            959.924550964               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       3.33150808094e+34                         1.97265747093e+19                   6.99056488747e+34                      4.1136455525e+19             3.24287325273e+38               9.04627587372e+20      3.2467733724e+38  4.71543643167e+34       761570926089.0  3.85742026682e-16    1.02006606621e-14   4.85671221552e-16  5.01270969862e+38    5.73582473295e+35        5.73582473295e+35          2.00532116614e+20     5.01270969862e+38       1.11915613398e+21      295157190483.0          295157190483.0         3.18091514308e-10       466413735606.0           466413735606.0          4.53861928605e-09  1.16879447397e+53      1.16879447397e+53        6.05501475926e+37  0.463976077248   2.15675506715   4.46906960657   6.58164190989   8.67046209184   10.5813324313    12.3857452987    16.5576455113    21.7635416029    27.4693424853  54.3550712153   0.283159724184  0.00412755531404 
 25       4.0615836982     0.444223284196          1691301806.1             228657124.038  9.44743270402    1.12831375107  0.169777681635  0.00927450824188  0.258293474613   0.0112162128123    0.2140018208  0.00806798448971  0.0900609010648   0.0108604306237  0.340053080756   0.0138185959109  0.298390094492    0.012118056846    0.13208064497   0.0134276463099  0.00869035049692   0.000790628539715    0.376720281797       0.0133612877763    0.436083076381       0.0156770011073    0.498756756148       0.0221720068016    0.559589207175       0.0312831566736      82.4677666343            6.87231388619           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.40503197112                                         0.132                                             0.3                                     0.132                                         0.3                               0.132                                   0.3         1.87348355855           1.24731123239                              0.44                              0.5                                 3.0                                217.5                            35.0              1.4              0.9            0.47            50.0                  0.5                 0.0                     400.0               -2.0         100.0                20.0              100.0               0.0                50.0               20.0            62.5519781583               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       1.08214750957e+33                         2.29821192924e+35                   2.24560979353e+33                     4.79313049595e+35             1.74921492101e+37               1.04889688335e+37     2.99353246984e+37  2.26668648021e+34        2639838824.34      4.82831386627        26.3983882434       5.80611625326  3.97350336455e+37    2.48348930992e+36         1.0962718365e+34          2.47252659155e+36      2.6161576561e+37       1.35734570845e+37       636842588.871           633109937.253             3732651.61766        2002996218.42            1948667724.55              54328493.8724  7.51639948601e+53      4.61503578197e+51        7.47024912819e+53  0.112196429636  0.185746831419  0.215085090623  0.248310140797  0.285499489992  0.324152718673   0.356118873725   0.408320979818   0.475086088499   0.544472707465  11.3297923072   0.131567344936  0.00982852549127 
 26      9.46826775183      15.0946478394        148702353450.0             46100921340.4  70.4022145506    17.8681640383   2.21439190376    0.330555910436   4.33367695303    0.294268304303   3.42219291769    0.350784158687   0.587388313964    0.173368889678   6.05077201319    0.140283911463   5.21609893977    0.202007876847    0.96928003798    0.135509906544   0.0283304624202     0.0248195760662     6.83081638713        0.156268827371     8.24234095279        0.452216033776     9.94613361951        0.951110542445     11.9018748573         1.53817846057      85.5629373472            7.13024477893           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           2.07715611323                                          0.22                                             0.5                                      0.22                                         0.5                                0.22                                   0.5         2.50783022144           1.86020184412                              0.44                              0.5                                 3.0                                217.5                            35.0              1.4              0.9            0.47            50.0                  0.5                 0.0                     400.0               -2.0         500.0                20.0              500.0               0.0                50.0               20.0            459.859798689               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       1.27536556972e+34                         2.78200037214e+29                   2.65609681617e+34                     5.80047792632e+29             2.34340057982e+38               1.27424799362e+31     2.34493375125e+38  1.77557106344e+35       299133296258.0  5.44939719362e-06    0.000131505826396   6.82714041802e-06  3.38570190747e+38    2.27977836189e+35        2.27975007929e+35          2.82825946364e+30     3.38570174991e+38       1.57562665449e+31      105324153253.0          105324153249.0             4.46273416041       193809143004.0           193809142940.0              63.8086501113  4.45706408998e+52      4.45697868581e+52        8.54041766164e+47  0.437351952547   1.93448864925   3.15224931236   4.13619803236   5.14689661162   6.10823582062    7.00350787528    8.74049770673    10.9382609834    13.4689968268  84.6201952714   0.921972443772    0.010503315292 
 27    0.0712133334519     0.870631242581        294906446504.0             53931758195.3  115.751904009    32.7652452346   3.64333581769    0.562596116713   7.43346570719    0.558793060422   5.79571795438    0.636929026988   0.847916782165     0.17193362051   10.6139897872    0.353361163124   9.07499135497    0.450005313458    1.43939035485    0.237884128191   0.0180705716883    0.00291128833075     12.0930019317         0.29328839758     14.8998941865        0.650614759829     18.2845903073         1.35622236454     22.1615691124         2.18163844548      73.8032115143            6.15026762619           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           2.07715611323                                          0.22                                             0.5                                      0.22                                         0.5                                0.22                                   0.5         2.50783022144           1.86020184412                              0.44                              0.5                                 3.0                                217.5                            35.0              1.4              0.9            0.47            50.0                  0.5                 0.0                     400.0               -2.0         500.0                20.0              500.0               0.0                50.0               20.0            459.859798689               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       2.19380700965e+34                         4.78542941894e+29                    4.5688577079e+34                     9.97763263818e+29             4.03097648272e+38               2.19188462258e+31     4.03361375184e+38  3.05423036155e+35       514551072829.0  9.37372471514e-06    0.000226208399071   1.17436355979e-05  5.82388042576e+38    3.92153737681e+35        3.92148872679e+35          4.86500152093e+30     5.82388015473e+38       2.71029803632e+31      181172262431.0          181172262423.0             7.67652641387       333378810398.0           333378810289.0               109.75979532  7.66677310035e+52      7.66662619323e+52        1.46907118839e+48  0.752306477421   3.32759081755   5.42230933765   7.11483864086   8.85338144025   10.5070192249    12.0470122714    15.0348775222    18.8153374911    23.1685568069  145.558561366    1.58592144705    0.018067170119 
 20      15.5335009127      1.68248014822         6470562822.01             883238211.499  36.1280901522    4.30939794567  0.651132188425   0.0352143559248  0.992971326394   0.0428642229468  0.822086474696   0.0311970258522   0.344367861545   0.0406978628457   1.30724354559   0.0522770545964   1.14708938468   0.0459974089492    0.50458753769   0.0511948113032   0.0332229550803    0.00299795374858     1.44821252346       0.0504011410083     1.67613412069       0.0598667702294      1.9160679938        0.085456965349     2.14865370135        0.120645689793      82.6738049193            6.88948374327           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.40503197112                                         0.132                                             0.3                                     0.132                                         0.3                               0.132                                   0.3         1.87348355855           1.24731123239                              0.44                              0.5                                 3.0                                217.5                            35.0              1.4              0.9            0.47            50.0                  0.5                 0.0                     400.0               -2.0         100.0                20.0              100.0               0.0                50.0               20.0            62.5519781583               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       4.15200354352e+33                         8.81782196015e+35                   8.61599711471e+33                     1.83903715786e+36             6.71142010329e+37               4.02442692698e+37     1.14856406475e+38  8.69686453526e+34        10128582338.4      18.5253637834        101.285823384       22.2770140342  1.52456110687e+38    9.52869763496e+36        4.20619602185e+34          9.48663567474e+36     1.00377219949e+38       5.20788907377e+37       2443449402.49           2429127895.85             14321506.6396        7685132870.56            7476684302.25              208448568.313  2.88390603172e+54       1.7707054492e+52        2.86619897722e+54   0.43047733262  0.712676872082  0.825242446643  0.952720932562   1.09540971415   1.24371513557    1.36636346945    1.56665347387    1.82281907549    2.08904293616  43.4703562973   0.504800018071    0.037710268061 
 21      4.72064946425      19.5461815761        433034741101.0             97639708691.0  178.769894502    53.9151173511   5.82915561275    0.930214875369   11.5424109712     0.86565260891   9.10218008861     1.03825239979    1.41020261819    0.330225020299    16.255991838    0.364202713111   13.9727377911    0.611279215725    2.42652501328    0.365072317055   0.0399893751943     0.0324021519394     18.4084846005        0.257973820088     22.3756913606        0.986229418578      27.228010093         2.22227738527     32.8249368555         3.63240498019      81.8586867388            6.82155722824           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           2.07715611323                                          0.22                                             0.5                                      0.22                                         0.5                                0.22                                   0.5         2.50783022144           1.86020184412                              0.44                              0.5                                 3.0                                217.5                            35.0              1.4              0.9            0.47            50.0                  0.5                 0.0                     400.0               -2.0         500.0                20.0              500.0               0.0                50.0               20.0            459.859798689               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                        3.3986841217e+34                          7.4136708061e+29                   7.07815413017e+34                     1.54575226856e+30              6.2448591451e+38               3.39570592609e+31     6.24894484845e+38  4.73166700085e+35       797151505732.0  1.45219379874e-05    0.000350446001283    1.8193445304e-05   9.0224572365e+38    6.07531417148e+35        6.07523880203e+35          7.53694529578e+30     9.02245681662e+38       4.19884103779e+31      280675232100.0          280675232088.0             11.8926087472       516476273632.0           516476273462.0              170.041791239  1.18774987436e+53      1.18772711525e+53        2.27591073402e+48   1.16548632957   5.15516179198   8.40033629566   11.0224322426   13.7158131011   16.2776576285    18.6634417433     23.292294756    29.1490493439    35.8931327122   225.50186462    2.45693719486   0.0279899753887 
 22      1.02416033986      1.82918595826        463383345743.0             69966220424.9  140.164760289    23.3444355129   6.69731123026    0.795866560285   15.0278801582    0.483241885958   11.4285774654    0.639738621011    1.45832926093    0.323422946827   21.3675775461    0.819549679446   18.3785019787    0.595534315546    1.89145930721    0.270436092034   0.0268587158808    0.00598218233688     24.0197484289         1.02550682766     28.6879986284         1.55757574613     34.0095724064         2.16600024408     39.8810864968          2.8560219956      74.9173944993            6.24311620828           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.66704913509                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3          2.9902582074           1.37024826772                               1.0                              0.1                                 0.0                                217.5                            35.0              1.4              0.9            0.47            30.0                  0.5                 0.0                     400.0               -2.0         500.0                20.0              500.0               0.0                50.0               20.0            459.859798689               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       2.77250806704e+34                            5.31265203e+29                   5.92429235609e+34                     1.13520693361e+30             4.37898314882e+38                2.6244476415e+31     4.38242179065e+38  4.07578762116e+35       674081770628.0  1.22799412673e-05    0.000296341735988   1.53846160186e-05  7.62950819971e+38    5.13736536202e+35        5.13730162862e+35          6.37333981504e+30     7.62950784465e+38       3.55059506378e+31      237342658284.0          237342658274.0             10.0565459691       436739112344.0           436739112200.0              143.789569354  1.00437687518e+53      1.00435762978e+53        1.92453997307e+48   1.24304849298   6.36147205836   11.2192727304   15.1145308473   18.7500756322   22.0071615434    24.8811813167    29.7566792462    35.0611211258    40.7699846354   158.49117039    1.84599593222    0.021967377686 
 23     0.122670746309      0.67092181749        549650088691.0             65619738889.8  122.832204627    13.7325361573   5.45642560882    0.299986455294   12.0358049773    0.364171681549   9.09514940517    0.250843488471     1.2300216715    0.100270024131   17.7742586686    0.389059815527   14.9962756567    0.408283437239   0.961962445889    0.182009454235    0.013423318979    0.00256360936301      20.416918146        0.320845828259     25.6363149529        0.681783402738     32.0303932452         1.39684171716     39.3179590187           2.369655848      62.6269764408             5.2189147034           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           2.10541337361                                          0.22                                             0.5                                      0.22                                         0.5                                0.22                                   0.5          2.5078099869           1.88842223126                              0.44                              0.5                                 0.0                                217.5                            35.0              1.0              0.1            0.47            50.0                  0.5                 0.0                     400.0               -2.0         500.0                20.0              500.0               0.0                50.0               20.0            459.859798689               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       3.73511042322e+34                         8.18042283815e+29                   7.83745113052e+34                     1.70588967023e+30             6.92029447918e+38               3.74311913818e+31     6.92480350814e+38  2.92933322386e+35       879477885627.0  1.60217013009e-05    0.000386638557436   2.00723861063e-05  9.95425782484e+38    6.70274649628e+35          6.702663343e+35          8.31532859833e+30      9.9542573616e+38       4.63247928587e+31      309662163215.0          309662163202.0             13.1208262424       569815722412.0           569815722225.0              187.602976287  1.31041557426e+53      1.31039046469e+53         2.5109570086e+48   1.26568504377   5.54175382982   9.03195597179   11.8764881625   14.8112039894   17.6092663067    20.2197919174     25.322779441    31.8156852235    39.3250794516  131.810379632    1.02570870033   0.0139439257667 
 28     0.542128785758      1.13962861202        300085785114.0             48943751513.5  91.1129813556    14.3989687336   4.00895807136    0.317292599422    9.4174927681    0.302714063371   7.03804514115    0.325595267702   0.835796125782    0.148353467177   13.6195422565    0.373401021559   11.6368728169    0.319444820333    1.17403245471    0.181889656889   0.0161998739436    0.00365294623872     15.3796488978        0.456143566217     18.5130158874        0.707250869587     22.0494162848         1.05255717044     25.9126449946         1.54830765944      73.7026293489            6.14188577908           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.66704913509                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3          2.9902582074           1.37024826772                               1.0                              0.1                                 0.0                                217.5                            35.0              1.4              0.9            0.47            50.0                  0.5                 0.0                     400.0               -2.0         500.0                20.0              500.0               0.0                50.0               20.0            459.859798689               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       1.75415191269e+34                         3.36128822514e+29                   3.74826998387e+34                     7.18239718597e+29              2.7705606189e+38               1.66047482595e+31     2.77273623029e+38  2.09950077031e+35       426488146711.0  7.76945709112e-06    0.000187493926229   9.73376919468e-06  4.82715147359e+38    3.25038523173e+35        3.25034490792e+35          4.03238005315e+30     4.82715124895e+38       2.24644364298e+31      150165506438.0          150165506431.0              6.3627260661       276322640273.0           276322640182.0              90.9749374962  6.35464198499e+52      6.35452022031e+52        1.21764676357e+48  0.786470530937   4.02487138318   7.09837744133   9.56288766488   11.8630785692   13.9238204473    15.7421984709    18.8269021681    22.1829991867    25.7949777611  100.077388582    1.09043089949      0.0125428996 
 29     0.303174559752     0.914382546649        402869937043.0             70417368699.0  86.0911968607    16.9897029453   3.57848963068    0.395587028557   8.18009298448    0.387508465897   6.09719014498    0.354595859691   0.802488619719    0.109647864743   12.2555505327    0.477069967592   10.2831688273    0.442162534801   0.657716216092     0.12373835211  0.00953186434766    0.00234155539071     14.1414510965        0.464767729679      17.943116751        0.779761164907     22.5996694227         1.46845843807     27.8912525972         2.38560109105      64.7332433922            5.39443694935           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           2.10541337361                                          0.22                                             0.5                                      0.22                                         0.5                                0.22                                   0.5          2.5078099869           1.88842223126                              0.44                              0.5                                 0.0                                217.5                            35.0              1.0              0.1            0.47            50.0                  0.5                 0.0                     400.0               -2.0         500.0                20.0              500.0               0.0                50.0               20.0            459.859798689               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       2.55848489479e+34                         5.60344565299e+29                   5.36851607023e+34                     1.16850439718e+30             4.74027990778e+38               2.56397072358e+31     4.74336851324e+38  2.00654169645e+35       602426871156.0  1.09745833784e-05    0.000264840606263   1.37492311703e-05  6.81849139597e+38    4.59126336875e+35        4.59120641021e+35          5.69585372412e+30     6.81849107866e+38       3.17316677029e+31      212113131154.0          212113131145.0             8.98753502432       390313740002.0           390313739873.0              128.504736584   8.9761160254e+52      8.97594402926e+52        1.71996135323e+48  0.866971976494   3.79600382792   6.18673086091   8.13518534236   10.1454140271   12.0620374632    13.8502015563    17.3456581876     21.793184361    26.9369872275  90.2877899326   0.702592405282  0.00955134371033 
