 id      bayes.sfh.sfr  bayes.sfh.sfr_err  bayes.stellar.m_star  bayes.stellar.m_star_err    bayes.LSST-g  bayes.LSST-g_err    bayes.LSST-i  bayes.LSST-i_err    bayes.LSST-r  bayes.LSST-r_err     bayes.LSST-u  bayes.LSST-u_err    bayes.LSST-y  bayes.LSST-y_err    bayes.LSST-z  bayes.LSST-z_err    bayes.SCUBA850  bayes.SCUBA850_err  bayes.WFIRST_106  bayes.WFIRST_106_err  bayes.WFIRST_129  bayes.WFIRST_129_err  bayes.WFIRST_158  bayes.WFIRST_158_err  bayes.WFIRST_184  bayes.WFIRST_184_err    best.chi_square  best.reduced_chi_square  best.agn.beta  best.agn.fracAGN  best.agn.gamma  best.agn.opening_angle  best.agn.psy  best.agn.r_ratio  best.agn.tau  best.attenuation.B_B90  best.attenuation.E_BVs.nebular.continuum_old  best.attenuation.E_BVs.nebular.continuum_young  best.attenuation.E_BVs.nebular.lines_old  best.attenuation.E_BVs.nebular.lines_young  best.attenuation.E_BVs.stellar.old  best.attenuation.E_BVs.stellar.young  best.attenuation.FUV  best.attenuation.V_B90  best.attenuation.ebvs_old_factor  best.attenuation.powerlaw_slope  best.attenuation.uv_bump_amplitude  best.attenuation.uv_bump_wavelength  best.attenuation.uv_bump_width  best.dust.alpha  best.dust.gamma  best.dust.qpah  best.dust.umin  best.nebular.f_dust  best.nebular.f_esc  best.nebular.lines_width  best.nebular.logU  best.sfh.age  best.sfh.age_burst  best.sfh.age_main  best.sfh.f_burst  best.sfh.tau_burst  best.sfh.tau_main  best.stellar.age_m_star  best.stellar.imf  best.stellar.metallicity  best.stellar.old_young_separation_age  best.universe.age  best.universe.luminosity_distance  best.universe.redshift  best.agn.agn_luminosity  best.agn.luminosity  best.agn.scatt_luminosity  best.agn.therm_luminosity  best.attenuation.nebular.continuum_old  best.attenuation.nebular.continuum_young  best.attenuation.nebular.lines_old  best.attenuation.nebular.lines_young  best.attenuation.stellar.old  best.attenuation.stellar.young  best.dust.luminosity     best.dust.mass  best.sfh.integrated        best.sfh.sfr  best.sfh.sfr100Myrs  best.sfh.sfr10Myrs   best.stellar.lum  best.stellar.lum_ly  best.stellar.lum_ly_old  best.stellar.lum_ly_young  best.stellar.lum_old  best.stellar.lum_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young  best.stellar.n_ly  best.stellar.n_ly_old  best.stellar.n_ly_young      best.LSST-u     best.LSST-g     best.LSST-r     best.LSST-i     best.LSST-z     best.LSST-y  best.WFIRST_106  best.WFIRST_129  best.WFIRST_158  best.WFIRST_184      best.SCUBA850 
 24    0.0532576899904     0.224541971368        525025540743.0            138988922213.0   1.89738660417    0.118024336697   7.01349675622    0.199077972575   4.59951940227    0.177739813669   0.385239578594   0.0421751673089   11.5784790387    0.277352246667   9.42332158726    0.217600186796  0.00202947592938   0.000774353687351     13.5553797491        0.392682213804     17.0103490289        0.748399553337     20.4167337632         1.34850621287     24.2143351589         2.09015393577      55.3835865164            5.53835865164           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.25458993416                                         0.132                                             0.3                                     0.132                                         0.3                               0.132                                   0.3         1.57214969939           1.12908310021                              0.44                              0.5                                 0.0                                217.5                            35.0              1.0              0.9            4.58            50.0                  0.5                 0.0                     400.0               -2.0        3000.0                20.0             3000.0               0.0                50.0              200.0            2597.53625279               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       3.29169177898e+34                         1.04089070654e+33                   6.93238122064e+34                     2.17905930679e+33             1.36631609955e+38               4.42240068781e+34     1.37118238665e+38  6.63900258099e+33    1.00189883051e+12     0.0230939182094      0.0293535181925      0.023586087439  3.06916185215e+38     6.7388804556e+35        6.62696370035e+35          1.11916755247e+34     3.06858168484e+38       5.80167317213e+34      440777105432.0          440777091309.0             14123.1146627       561121725082.0           561121503344.0              221737.689216  1.44984414379e+53      1.41595463095e+53        3.38895128358e+51   0.408997268386   1.87042089683   4.40921846046    6.7297565134   9.14070103626   11.3611494433    13.4702869931    17.5323364891    21.8765717494    26.7227890692   0.00244201841632 
 25      1.90978339414     0.618957399184         4519234464.13             1119925474.85  0.170305936865   0.0146117039105  0.279421206045  0.00604856636771  0.232742752675  0.00891349844424  0.0764010663652   0.0118205770391  0.344261917141  0.00982202767145  0.310494858603  0.00752046987587    0.003378823452    0.00109546604806    0.374653969894       0.0119012006295    0.413042210441       0.0178527572763    0.452653680993       0.0249258582784     0.49989815117       0.0328678960307       65.552531169             6.5552531169           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0          0.959595166615                                           0.1                                             0.1                                       0.1                                         0.1                                 0.1                                   0.1         1.14153393477          0.859995655881                               1.0                              0.5                                 0.0                                217.5                            35.0              1.0              0.9            4.58            50.0                  0.5                 0.0                     400.0               -2.0         500.0                20.0              500.0               0.0                50.0              100.0            313.038302286               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       4.37078060541e+32                          5.8919940311e+34                   9.22128622414e+32                     1.24306773313e+35             6.49149793754e+36               2.62134581802e+36     9.78863999517e+36  4.73947206623e+32        5651856281.35        2.0006199674        3.02497791711       2.07434162836  1.78661422907e+37    9.82420638613e+35        7.93067376846e+33          9.74489964845e+35     1.27879049253e+37       5.07823736538e+36       1856704965.98            1855454118.2             1250847.77477        3795151309.18            3775658746.86               19492562.316  2.97211803484e+53      2.18853241285e+51        2.95023271071e+53  0.0803902959694  0.189215984825  0.235414641691  0.269009411854  0.295116208627  0.326256723039   0.360616623942    0.41424089189   0.469571844225   0.534113135635   0.00343834171133 
 26       4.1724081117       7.3217683689        109434569233.0             20858301718.3    2.4403720026    0.271309211664   4.70094100665    0.144371351401   3.81488519111    0.201317235841   0.678361397516    0.131174768063   6.12128552215    0.180611166316   5.45718473553    0.150938240936  0.00869161911618     0.0123501740526     6.71465135146        0.218535828031      7.5854447352        0.358984152388     8.52909135145        0.542304949995     9.63993499751        0.775110800891      61.0760503552            6.10760503552           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.26380788964                                         0.132                                             0.3                                     0.132                                         0.3                               0.132                                   0.3         1.50469301406           1.13358356513                              0.44                              0.5                                 0.0                                217.5                            35.0              1.0              0.9            4.58            50.0                  0.5                 0.0                     400.0               -2.0         500.0                20.0              500.0               0.0                50.0               20.0            459.859798689               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       6.35078131469e+33                         1.60781357686e+29                   1.33748965816e+34                      3.3658876155e+29             1.10983763016e+38               7.47223283622e+30      1.1107336484e+38  5.37795965752e+33       183350261272.0   3.34014438287e-06     8.0604960832e-05   4.18461600578e-06  2.07522645285e+38    1.39736352831e+35        1.39734619282e+35          1.73354861558e+30     2.07522635627e+38       9.65761960909e+30       64557209975.7           64557209973.0              2.7353807969       118793051296.0           118793051257.0              39.1107670582  2.73190539344e+52      2.73185304594e+52        5.23474928809e+47   0.620341144014   2.50721388344   3.73470575814   4.52886199311   5.28927796773    5.9828506791    6.68026920923    7.87865327177    9.21119626234    10.7517130068   0.00095268150464 
 27      4.29598271338      6.27997963909        224009473581.0             38311346140.5   3.72972364695     0.43120964484   8.26211284174    0.245053134524    6.4138213003    0.274161220401   0.974427135467    0.145241766083   11.1818217593    0.370275266018   9.84264327397     0.30741228338  0.00965659406291      0.010737835124     12.3360098891        0.425289070405     14.1405991759        0.595376036029     16.0912240476        0.899047600381     18.3061462312         1.33482947448      59.0141582845            5.90141582845           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.26380788964                                         0.132                                             0.3                                     0.132                                         0.3                               0.132                                   0.3         1.50469301406           1.13358356513                              0.44                              0.5                                 0.0                                217.5                            35.0              1.0              0.9            4.58            50.0                  0.5                 0.0                     400.0               -2.0         500.0                20.0              500.0               0.0                50.0               20.0            459.859798689               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       1.11412363421e+34                         2.82060272055e+29                   2.34637088703e+34                     5.90480880494e+29             1.94699875909e+38               1.31086094618e+31     1.94857065245e+38  9.43460601361e+33       321653115262.0   5.85964720596e-06    0.000141406052968   7.34111184298e-06  3.64058959503e+38    2.45140818953e+35        2.45137777772e+35          3.04118090038e+30     3.64058942561e+38       1.69424543588e+31      113253330305.0          113253330300.0             4.79870466858       208399784957.0           208399784888.0              68.6123923538  4.79260773508e+52      4.79251590137e+52        9.18337069416e+47    1.08827039631   4.39842927216   6.55182999663   7.94502586781   9.27903087787   10.4957721125    11.7192601038    13.8215967152    16.1592896161    18.8618328606   0.00167129826647 
 20      7.28061912522      2.36153697296         17476324904.5             4304083649.26  0.652562378504    0.055940298271   1.07333745274   0.0231080326485  0.893431071662   0.0342302334937    0.29209937813   0.0450313856489   1.32351220018   0.0376167282348   1.19342325782   0.0287400166638   0.0128803857622    0.00417732044699      1.4405261952       0.0456977506555     1.58845792162        0.068658210474     1.74101279112       0.0958036211843     1.92296041883        0.126312344105      65.6213759099            6.56213759099           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0          0.959595166615                                           0.1                                             0.1                                       0.1                                         0.1                                 0.1                                   0.1         1.14153393477          0.859995655881                               1.0                              0.5                                 0.0                                217.5                            35.0              1.0              0.9            4.58            50.0                  0.5                 0.0                     400.0               -2.0         500.0                20.0              500.0               0.0                50.0              100.0            313.038302286               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       1.67882168927e+33                         2.26312145712e+35                   3.54190628944e+33                     4.77463698139e+35             2.49339157402e+37               1.00686184269e+37     3.75982750359e+37  1.82043648922e+33        21708842805.0       7.68440353447        11.6189738065       7.96756925374  6.86240511456e+37    3.77348859389e+36        3.04618061052e+34          3.74302678779e+36     4.91184849735e+37       1.95055661721e+37        7131624414.2           7126819893.99             4804520.20782        14577218367.0            14502347218.4              74871148.5427  1.14159384111e+54      8.40617732636e+51        1.13318766378e+54   0.308780020469  0.726780701111  0.904230255697   1.03326814135   1.13354463796   1.25315569999    1.38513246132    1.59110387062    1.80363067361    2.05153449139    0.0132067087352 
 21      6.82420703446      13.7304817549        298205632337.0             55662835610.3   6.43617588079     0.73960478313   12.5867536165    0.393754392538   10.1803949806    0.519102878512    1.70888293381    0.254825708145   16.4646390236    0.514733569035   14.6621685219    0.427522260705   0.0157938633238     0.0233569640751      18.070330557         0.60852843638     20.4711646077        0.966239032683     23.0976271406         1.44708051564     26.1732848557         2.07346796207      59.8906240149            5.98906240149           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.26380788964                                         0.132                                             0.3                                     0.132                                         0.3                               0.132                                   0.3         1.50469301406           1.13358356513                              0.44                              0.5                                 0.0                                217.5                            35.0              1.0              0.9            4.58            50.0                  0.5                 0.0                     400.0               -2.0         500.0                20.0              500.0               0.0                50.0               20.0            459.859798689               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       1.70067549497e+34                         4.30556338685e+29                   3.58166306426e+34                     9.01350920908e+29              2.9720337821e+38               2.00098895672e+31     2.97443322902e+38  1.44016361913e+34       490993597306.0   8.94457141589e-06    0.000215851995002   1.12059816647e-05  5.55724815576e+38    3.74199927914e+35        3.74195285645e+35          4.64226920085e+30     5.55724789714e+38       2.58621360035e+31      172877728879.0          172877728872.0             7.32507523119       318115868427.0           318115868322.0              104.734708738  7.31576844952e+52      7.31562826819e+52        1.40181331956e+48    1.66121132168   6.71406713744   10.0011671778   12.1278378677   14.1641555268   16.0214736358    17.8890904614    21.0982427023    24.6666590872    28.7920083114   0.00255118545131 
 22      3.40883226969      7.38984109128        454889656181.0             81068792279.5   6.35794917398    0.673386609852   15.4211580619    0.547438378383   11.6544101268    0.512409718973    1.55954547077    0.230650751886   21.3296551079    0.702567314203    18.648165767    0.632052583412  0.00990024246017     0.0129712736971     23.6063471149        0.821745092144     27.3283535449         1.25369931629     31.4040672372          2.1172658823     35.9272804003         3.29617432047      58.9593066941            5.89593066941           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.26378343443                                         0.132                                             0.3                                     0.132                                         0.3                               0.132                                   0.3         1.81032792097           1.13407978957                              0.44                              0.5                                 0.0                                217.5                            35.0              1.0              0.9            4.58            50.0                  0.5                 0.0                     400.0               -2.0        1000.0                20.0             1000.0               0.0                50.0              100.0            798.082458895               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       2.82223557614e+34                          1.7139538936e+35                   5.94369528555e+34                     3.58808774042e+35             3.22956841493e+38               7.34501889837e+36     3.32139026475e+38  1.60815357277e+34       824397034898.0       3.77851877362        6.08704804007        3.9359288929  6.51046731019e+38     2.4386052233e+36        5.95253453397e+35           1.8433517699e+36     6.41425201045e+38       9.62152997451e+36      311399155964.0          311396777464.0             2378499.99062       512997878922.0           512960898145.0              36980777.1931  6.79433618164e+53       1.2140132801e+53        5.58032290154e+53    1.56482398941   6.51655904467   11.3160457925   14.8242072772   18.0271427054   20.8261076539    23.2871701377    28.0670894459    33.8274202923    40.2685693145   0.00965009032849 
 23     0.381770941592     0.902416903255        512522397113.0            108096592147.0    4.4591613838    0.451819164068   12.8793340057     0.45161256042   9.21486049798    0.360372508744    1.02264980423    0.128023256901   18.9739787133    0.694857769643   16.1893205274    0.573051737303  0.00387743010546    0.00283011809178     21.4132669351        0.849264595433     25.3988072619         1.12866845037     29.4044851015         1.78008926572     33.8443609632         2.82354173326      56.7789238848            5.67789238848           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.25873068233                                         0.132                                             0.3                                     0.132                                         0.3                               0.132                                   0.3         1.50241406075           1.13143730631                              0.44                              0.5                                 0.0                                217.5                            35.0              1.0              0.9            4.58            50.0                  0.5                 0.0                     400.0               -2.0        1000.0                20.0             1000.0               0.0                50.0               20.0            959.924550964               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                        2.8620597546e+34                         1.95896074692e+19                   6.02756595311e+34                     4.10099890447e+19             2.57927210235e+38               9.12418016085e+20     2.58318196666e+38  1.25072724904e+34       802197083208.0   4.06319514145e-16    1.07448169955e-14   5.11579452393e-16  5.28011372473e+38    6.04180347876e+35        6.04180347876e+35          2.11229543469e+20     5.28011372473e+38       1.17885774729e+21      310902411295.0          310902411295.0         3.35060171324e-10       491294671913.0           491294671913.0          4.78073286196e-09   1.2311440547e+53       1.2311440547e+53        6.37802076243e+37    1.14810005072   4.91523362169   9.32421285184   12.6754004962   15.6416533638   18.1659323432    20.3396767478    24.7060639398    29.9424150088    35.5751040962   0.00289352621364 
 28      1.67250381322      4.13082241037        307934764204.0             56232185993.2    3.8355820353     0.37986861135   9.62330788712    0.391053998968   7.18366771651    0.327580606029   0.926687945407    0.132553700781   13.5198150305    0.458306068304   11.7458215866    0.436261499971  0.00555217105743    0.00731215463083     15.0415926474        0.521064391431     17.5860263965        0.815194504762     20.3684823283         1.47295335138     23.4481134332         2.37763310674      58.9896683615            5.89896683615           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.26378343443                                         0.132                                             0.3                                     0.132                                         0.3                               0.132                                   0.3         1.81032792097           1.13407978957                              0.44                              0.5                                 0.0                                217.5                            35.0              1.0              0.9            4.58            50.0                  0.5                 0.0                     400.0               -2.0        1000.0                20.0             1000.0               0.0                50.0              100.0            798.082458895               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       1.77608802207e+34                         1.07862469262e+35                   3.74048364096e+34                     2.25805376127e+35             2.03243054077e+38               4.62236398604e+36     2.09021582596e+38  1.01204248235e+34       518809170818.0       2.37789573334        3.83069833189       2.47695699873  4.09716435632e+38    1.53466194115e+36         3.7460463528e+35          1.16005730587e+36     4.03661418721e+38       6.05501691148e+36      195969576624.0          195968079788.0             1496836.54318       322839594187.0           322816321461.0              23272726.0526  4.27580858669e+53      7.64002290824e+52        3.51180629587e+53   0.984774328458   4.10099800392   7.12140884311   9.32916344909   11.3448333306   13.1062766918     14.655071426    17.6631680929    21.2882569076    25.3417979101   0.00607299050058 
 29     0.274284610163     0.624035678736        392396298688.0             86364529947.4   2.90891879269    0.277714028863   8.81007286131    0.279753799483   6.20706408165    0.246891278207   0.659098021989   0.0811165831641   13.2390423597    0.438655244233   11.2049475496    0.348192115099  0.00274965252143    0.00201114663955     15.0368099952        0.557572369314     17.9905214373        0.796489204884     20.9190948917         1.32458922545     24.1730808924         2.07013163146       58.218491383             5.8218491383           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0          0.952361054726                                           0.1                                             0.1                                       0.1                                         0.1                                 0.1                                   0.1         1.14145838651          0.856332071225                               1.0                              0.5                                 0.0                                217.5                            35.0              1.0              0.9            4.58            50.0                  0.5                 0.0                     400.0               -2.0        2000.0                20.0             2000.0               0.0                50.0              200.0            1595.25528686               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       2.13950722221e+34                         4.34099627761e+34                   4.51384094872e+34                     9.15844852159e+34             1.17391595249e+38               1.91818131784e+36     1.20126170772e+38  5.81627918769e+33       649418026540.0       1.48156986202        1.86598977886       1.51199658877  3.07589505159e+38    1.22973255041e+36        5.11924064428e+35          7.17808485981e+35      3.0386942492e+38       3.72008023835e+36      270822130740.0          270821225695.0             905045.909753       378595895796.0           378581680880.0              14214915.4575  3.24491051859e+53      1.07129168129e+53         2.1736188373e+53   0.738358366345   3.01514584326   6.16812250207   8.69947587509   10.9964822567   12.9444155647    14.6974659204    17.9286107283    21.4862042587    25.3031233873   0.00438631828764 
  0       1723.9681788      428.626284804     1.16211219588e+12            569436924361.0   53.3735925892     3.41010135586   92.5292246756     4.00245921525   73.4687392825     3.69553388523    23.7367143117     3.26877032344   121.780566606     3.95536242122   106.130844243     3.62896334223     3.33569920577      0.460533047331     136.854665387         3.84498738074     161.780909322         6.83188550621     186.872442777         11.7127588675     213.079690764         16.8492853904  1.22283956261e-21        1.22283956261e-22           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.68739047145                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07603722893           1.37852910701                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0         100.0                20.0              100.0               0.0                50.0               20.0            62.5519781583               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       4.67287438764e+35                         7.56387110946e+37                   9.89535934772e+35                     1.60173838368e+38             7.50928000116e+39               3.66111450096e+39      1.1858536973e+40  6.17573568751e+36       958516152498.0       1753.14370994        9585.16152498        2108.1803028  1.44276503619e+40     9.0174619608e+38        3.98052431505e+36          8.97765671765e+38     9.49917603958e+39        4.9284743223e+39      231235294520.0          229879981903.0             1355312617.65       727280851790.0           707554367568.0              19726484222.3  2.72917810343e+56      1.67570319089e+54        2.71242107152e+56    26.5249044835   52.2496969764   69.7081728232   89.8474850119   105.705870194   124.081964898    139.023594055    163.339075323    191.903119433    219.815727678      3.27052825205 
  5      3345.48497878      711.209187551        197768055101.0            128463704870.0   31.9412165249     1.82305110145   50.5847553722     2.08566388954   38.2474415971     1.86783261466    19.0068197519     1.93260299262   61.8452148856     2.78933936985   52.6184321137     2.51463633097     6.24602608614      0.756436214978     70.8172789253         2.10919804719     83.8451736019          3.7972562978     97.5570313074         6.15887960453     112.198361669         8.58981291463  2.86764303513e-22        2.86764303513e-23           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.68670281171                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07740408141           1.38556639292                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0         100.0                20.0              100.0               0.0                50.0              100.0            37.7017406409               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                        5.4540132887e+35                         1.49455290298e+38                   1.15495125488e+36                     3.16489098837e+38              3.4095609265e+39               6.67843672467e+39     1.14426662831e+40  5.95915690828e+36       262393387149.0       3678.60924112        2623.93387149       3671.32986208  1.32981993051e+40    1.77404778038e+39        4.68096333159e+36          1.76936681705e+39     4.19955453502e+39       9.09864477011e+39       51189043804.9           49015258369.5             2173785435.43       211204332342.0           176664830159.0              34539502183.2  5.37905829997e+56      1.95582134525e+54        5.35950008651e+56    19.6318842805   31.7077226303   37.6022875897   50.7805136468   53.0485239022   63.3478532509    71.8144904779    82.6836473872    97.1112377223    113.043863241      6.27986054452 
  6   0.00158032224119   0.00797820764025        898622188895.0            195008927697.0   4.99488522819    0.226916959193   16.6790312572    0.205931414561   11.5411266117    0.238428138981    1.06246691226   0.0838964984405   25.4761816708    0.458006962511   21.4445696232    0.272587717538  0.00215792085959    0.00024673342497     29.0715676802        0.711289646957     34.3264029738         1.10333568318     38.7425756233         1.40899853371     43.9505189799         1.84387281385      65.3134327576            6.53134327576           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0          0.153155155969                                         0.044                                             0.1                                     0.044                                         0.1                               0.044                                   0.1        0.537869181918          0.111962257155                              0.44                             -0.5                                 0.0                                217.5                            35.0              1.0              0.9            4.58            50.0                  0.5                 0.0                     400.0               -2.0        5000.0                20.0             5000.0               0.0                50.0               20.0            4959.98174976               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       1.28616155156e+34                         1.60163606231e-67                   3.59827850573e+34                     4.07389031771e-67             1.61409585978e+37               1.01307075823e-65     1.65565681959e+37  8.01637331802e+32    1.92693826321e+12  6.75889454477e-102   1.91213092306e-100  8.54347129587e-102  3.43389139032e+38    7.33530395057e+35        7.33530395057e+35          3.51830696086e-66     3.43389139032e+38         1.966322215e-65      894988358319.0          894988358319.0         5.60420109357e-96    1.03194990489e+12        1.03194990489e+12          7.98304869864e-95  1.57331330463e+53      1.57331330463e+53        1.06228788628e-48    1.05131180213   5.00229165584   11.6952696125   16.8557206495   21.6454498038   25.6876748329    29.3439569468    34.4533659669    38.4927719751     43.492809063     0.001885841927 
 11     0.656168276991      1.34249318255        728208817883.0            131097742885.0   8.63221727456    0.797938650994   23.2707456049    0.689870658033    17.099160529    0.671089242065      2.024919706    0.221613542368   32.8694605014     0.96439969265   28.5617296231     0.79023763349  0.00546632841966    0.00359196224881     36.5182171649         1.26760782424     42.2745123642         1.85835891962     48.1626440839         2.79215617709     54.6143374361         4.20222514403      53.7144046099            5.37144046099           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0          0.953741531028                                           0.1                                             0.1                                       0.1                                         0.1                                 0.1                                   0.1         1.13819426061          0.857297748798                               1.0                              0.5                                 0.0                                217.5                            35.0              1.0              0.9            4.58            50.0                  0.5                 0.0                     400.0               -2.0        1000.0                20.0             1000.0               0.0                50.0               20.0            959.924550964               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       3.58019976944e+34                         1.85474546021e+19                   7.55335254595e+34                     3.91306274681e+19             3.11978357948e+38               8.97561075409e+20     3.12529568151e+38  1.51320833012e+34    1.16808229801e+12   5.91643427464e-16    1.56455698862e-14   7.44912833613e-16  7.68839416456e+38    8.79749358275e+35        8.79749358275e+35          3.07572161142e+20     7.68839416456e+38       1.71653935836e+21      452706212283.0          452706212283.0         4.87882420774e-10       715376085732.0           715376085732.0          6.96124374481e-09  1.79267365427e+53      1.79267365427e+53        9.28706087932e+37    2.28068733548   9.47754744585   17.4106147619   22.9882309299   27.6995713333   31.5949944319    34.8379819358    40.8918788872    48.0886418297    55.8525706571   0.00384571358035 
 10      1302.87529894      276.158127157         71648748378.0             42757447369.0   11.9633903946    0.685099624737   18.8466236354     0.77476544938   14.2078918898     0.66842998513     7.2424870195    0.725376617747   22.9788657021    0.976838691844   19.5090631118    0.859928819173     2.47618944601      0.295649245125     26.2360216018        0.765836423415     30.7723413527         1.35079709199     35.7468733517         2.17540338333     41.0944067754         3.03344581842  4.45179044339e-22        4.45179044339e-23           -0.5               0.0             4.0                   100.0         0.001              60.0           1.0           1.68653383479                                           0.3                                             0.3                                       0.3                                         0.3                                 0.3                                   0.3         3.07748680445           1.38643798628                               1.0                              0.1                                 3.0                                217.5                            35.0              1.0              0.1            0.47             3.0                  0.5                 0.0                     400.0               -2.0         100.0                20.0              100.0               0.0                50.0              200.0            34.7085331203               1.0                      0.02                                   10.0      12457.0636494                  1.41521977196e+25                     0.1                      0.0                  0.0                        0.0                        0.0                       2.08769981355e+35                          6.0852231152e+37                   4.42094911002e+35                     1.28861733573e+38             1.21488930861e+39               2.69340250975e+39     4.45964790432e+39  2.32251303674e+36        89444395577.1       1508.68799556        894.443955771       1472.38998158  5.16784796739e+39    7.21982512681e+38        1.79290453315e+36          7.20189608148e+38     1.49289864818e+39        3.6749493192e+39       16800180737.9           15937765269.3             862415468.678        72644210419.2            58782730492.0              13861479927.2  2.18966113681e+56      7.48653815399e+53        2.18217459866e+56    7.50316200131    11.943335051   13.9820848774   18.9823999444   19.4712689123   23.2643601711    26.3966690451    30.2438009092    35.4407487686    41.2621100097      2.55358945164 
